0;97;84;67;103;92;79;72;63;98;74;58;143;18
97;0;12;28;17;4;17;25;33;23;23;38;78;78
84;12;0;16;30;17;30;30;21;36;36;26;91;66
67;28;16;0;45;33;21;13;4;51;27;9;104;49
103;17;30;45;0;12;24;32;40;5;30;46;60;85
92;4;17;33;12;0;12;20;28;18;18;34;73;74
79;17;30;21;24;12;0;8;16;30;5;22;84;61
72;25;30;13;32;20;8;0;8;38;14;14;93;54
63;33;21;4;40;28;16;8;0;46;22;5;100;45
98;23;36;51;5;18;30;38;46;0;34;50;55;80
74;23;36;27;30;18;5;14;22;34;0;26;79;56
58;38;26;9;46;34;22;14;5;50;26;0;95;40
143;78;91;104;60;73;84;93;100;55;79;95;0;125
18;78;66;49;85;74;61;54;45;80;56;40;125;0
