0;76;95;84;67;140;129;126;65;136;136;62;159;156;18
76;0;27;16;9;72;61;58;26;68;68;59;91;88;58
95;27;0;11;28;45;34;43;45;41;53;78;64;61;77
84;16;11;0;17;56;45;42;34;52;52;67;75;72;66
67;9;28;17;0;73;62;59;17;69;69;50;92;89;49
140;72;45;56;73;0;21;32;90;22;43;123;45;42;122
129;61;34;45;62;21;0;11;77;17;38;112;40;37;111
126;58;43;42;59;32;11;0;66;28;49;109;51;48;108
65;26;45;34;17;90;77;66;0;86;78;48;109;104;47
136;68;41;52;69;22;17;28;86;0;21;119;23;20;118
136;68;53;52;69;43;38;49;78;21;0;119;32;29;118
62;59;78;67;50;123;112;109;48;119;119;0;142;139;48
159;91;64;75;92;45;40;51;109;23;32;142;0;15;141
156;88;61;72;89;42;37;48;104;20;29;139;15;0;138
18;58;77;66;49;122;111;108;47;118;118;48;141;138;0
