0;97;67;104;79;63;131;118;53;65;67;84;130;116;124;92;18
97;0;28;17;17;33;44;31;42;73;74;41;63;49;60;49;78
67;28;0;45;21;4;72;59;13;44;45;45;91;77;85;53;49
104;17;45;0;24;40;26;13;51;81;82;48;44;31;42;56;86
79;17;21;24;0;16;51;38;26;56;57;23;69;55;63;31;61
63;33;4;40;16;0;67;54;9;40;41;40;86;72;80;48;45
131;44;72;26;51;67;0;13;78;108;109;56;17;31;33;65;113
118;31;59;13;38;54;13;0;65;95;96;42;31;17;28;51;100
53;42;13;51;26;9;78;65;0;30;31;31;77;63;71;39;35
65;73;44;81;56;40;108;95;30;0;19;61;107;93;101;69;47
67;74;45;82;57;41;109;96;31;19;0;62;108;94;102;70;48
84;41;45;48;23;40;56;42;31;61;62;0;45;31;40;8;66
130;63;91;44;69;86;17;31;77;107;108;45;0;13;15;47;112
116;49;77;31;55;72;31;17;63;93;94;31;13;0;10;40;98
124;60;85;42;63;80;33;28;71;101;102;40;15;10;0;31;106
92;49;53;56;31;48;65;51;39;69;70;8;47;40;31;0;74
18;78;49;86;61;45;113;100;35;47;48;66;112;98;106;74;0
