0;97;67;103;92;109;96;69;103;117;77;112;99;84;128;119;114;123;92;18
97;0;28;17;4;44;31;27;38;52;34;46;56;41;63;54;49;62;49;78
67;28;0;45;33;70;57;30;64;78;38;73;60;45;89;80;75;84;53;49
103;17;45;0;12;26;13;34;20;34;41;28;42;48;44;36;31;44;56;85
92;4;33;12;0;39;26;22;33;47;29;41;51;36;58;49;44;57;44;74
109;44;70;26;39;0;13;40;20;7;48;28;42;56;17;27;31;35;63;91
96;31;57;13;26;13;0;27;6;21;35;14;28;42;31;22;17;30;50;78
69;27;30;34;22;40;27;0;34;48;7;42;29;14;59;50;45;53;22;51
103;38;64;20;33;20;6;34;0;28;42;8;22;36;25;16;11;24;45;85
117;52;78;34;47;7;21;48;28;0;56;28;42;56;10;20;24;28;58;99
77;34;38;41;29;48;35;7;42;56;0;35;22;7;53;44;39;46;15;59
112;46;73;28;41;28;14;42;8;28;35;0;13;27;17;8;3;16;36;93
99;56;60;42;51;42;28;29;22;42;22;13;0;14;31;22;17;30;23;81
84;41;45;48;36;56;42;14;36;56;7;27;14;0;45;36;31;39;8;66
128;63;89;44;58;17;31;59;25;10;53;17;31;45;0;9;13;17;47;109
119;54;80;36;49;27;22;50;16;20;44;8;22;36;9;0;4;7;37;101
114;49;75;31;44;31;17;45;11;24;39;3;17;31;13;4;0;12;40;96
123;62;84;44;57;35;30;53;24;28;46;16;30;39;17;7;12;0;30;105
92;49;53;56;44;63;50;22;45;58;15;36;23;8;47;37;40;30;0;74
18;78;49;85;74;91;78;51;85;99;59;93;81;66;109;101;96;105;74;0
