0;96;67;128;150;55;165;62;160;157;175;79;18
96;0;28;31;90;63;101;79;63;60;91;87;78
67;28;0;60;103;34;117;50;92;89;120;58;49
128;31;60;0;83;95;69;111;31;28;59;119;110
150;90;103;83;0;117;14;133;70;54;24;141;132
55;63;34;95;117;0;132;15;127;124;142;23;37
165;101;117;69;14;132;0;148;56;40;10;156;147
62;79;50;111;133;15;148;0;143;140;158;38;48
160;63;92;31;70;127;56;143;0;15;46;150;141
157;60;89;28;54;124;40;140;15;0;30;148;139
175;91;120;59;24;142;10;158;46;30;0;166;157
79;87;58;119;141;23;156;38;150;148;166;0;61
18;78;49;110;132;37;147;48;141;139;157;61;0
