0;97;112;92;79;109;93;69;55;114;75;125;157;18
97;0;28;4;17;44;27;27;64;49;84;60;92;79
112;28;0;33;46;73;56;56;79;78;99;89;121;94
92;4;33;0;12;39;22;22;59;44;79;55;87;74
79;17;46;12;0;50;34;9;46;55;66;66;98;61
109;44;73;39;50;0;16;40;76;31;96;33;65;91
93;27;56;22;34;16;0;24;60;21;80;32;64;75
69;27;56;22;9;40;24;0;36;45;56;56;88;51
55;64;79;59;46;76;60;36;0;81;19;92;124;37
114;49;78;44;55;31;21;45;81;0;101;10;42;96
75;84;99;79;66;96;80;56;19;101;0;112;144;57
125;60;89;55;66;33;32;56;92;10;112;0;31;107
157;92;121;87;98;65;64;88;124;42;144;31;0;139
18;79;94;74;61;91;75;51;37;96;57;107;139;0
